 time            n21             n22             n25             n27             n28             time            v14#branch     
 2.00000000e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e-05  0.00000000e+00 
 4.00000000e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.00000000e-05  0.00000000e+00 
 8.00000000e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.00000000e-05  0.00000000e+00 
 1.60000000e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.60000000e-04  0.00000000e+00 
 3.20000000e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.20000000e-04  0.00000000e+00 
 6.40000000e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.40000000e-04  0.00000000e+00 
 9.76581043e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.76581043e-04  0.00000000e+00 
 1.36935509e-03  5.80753722e-01  5.54207460e-08  2.66285043e+01  2.66285044e+01 -5.54207488e-08  1.36935509e-03 -5.54207488e-05 
 1.72793777e-03  5.98310186e-01  1.09665425e-07  5.21410601e+01  5.21410603e+01 -1.09665425e-07  1.72793777e-03 -1.09665425e-04 
 2.27098718e-03  6.12158913e-01  1.88944969e-07  8.94162945e+01  8.94162950e+01 -1.88944984e-07  2.27098718e-03 -1.88944984e-04 
 3.35708600e-03  6.26515765e-01  3.28818458e-07  1.55171191e+02  1.55171193e+02 -3.28818458e-07  3.35708600e-03 -3.28818458e-04 
 5.52928363e-03  6.36826312e-01  4.82665688e-07  2.27489700e+02  2.27489705e+02 -4.82665687e-07  5.52928363e-03 -4.82665687e-04 
 8.44586875e-03  6.28023083e-01  3.50528961e-07  1.65376635e+02  1.65376646e+02 -3.50528959e-07  8.44586875e-03 -3.50528959e-04 
 1.16629277e-02 -5.95607147e-01 -9.99144746e-08 -4.75554102e+01 -4.75553970e+01  9.99144749e-08  1.16629277e-02  9.99144749e-05 
 1.52241492e-02 -6.36313007e-01 -4.73543311e-07 -2.23201669e+02 -2.23201661e+02  4.73543308e-07  1.52241492e-02  4.73543308e-04 
 1.81422667e-02 -6.30759052e-01 -3.81312940e-07 -1.79847841e+02 -1.79847838e+02  3.81312940e-07  1.81422667e-02  3.81312940e-04 
 2.03460118e-02 -5.95341689e-01 -9.85699712e-08 -4.69232281e+01 -4.69232277e+01  9.85699701e-08  2.03460118e-02  9.85699701e-05 
 2.25298416e-02  6.16604917e-01  2.24931543e-07  1.06334430e+02  1.06334431e+02 -2.24931540e-07  2.25298416e-02 -2.24931540e-04 
 2.45914081e-02  6.34125871e-01  4.40874468e-07  2.07845126e+02  2.07845130e+02 -4.40874473e-07  2.45914081e-02 -4.40874473e-04 
 2.73983244e-02  6.34002829e-01  4.41548361e-07  2.08161733e+02  2.08161742e+02 -4.41548355e-07  2.73983244e-02 -4.41548355e-04 
 3.07263309e-02  5.72842520e-01  4.08025533e-08  1.97500426e+01  1.97500561e+01 -4.08025532e-08  3.07263309e-02 -4.08025532e-05 
 3.40727820e-02 -6.31634411e-01 -4.01030912e-07 -1.89116163e+02 -1.89116152e+02  4.01030913e-07  3.40727820e-02  4.01030913e-04 
 3.80727820e-02 -6.30779747e-01 -3.87880021e-07 -1.82934390e+02 -1.82934386e+02  3.87880018e-07  3.80727820e-02  3.87880018e-04 
 4.04703287e-02 -5.89734102e-01 -7.98003181e-08 -3.80958836e+01 -3.80958826e+01  7.98003188e-08  4.04703287e-02  7.98003188e-05 
 4.26250748e-02  6.18046256e-01  2.37807556e-07  1.12387598e+02  1.12387600e+02 -2.37807558e-07  4.26250748e-02 -2.37807558e-04 
 4.46042151e-02  6.34191643e-01  4.41713879e-07  2.08239715e+02  2.08239720e+02 -4.41713878e-07  4.46042151e-02 -4.41713878e-04 
 4.74693570e-02  6.33721816e-01  4.36794605e-07  2.05927186e+02  2.05927197e+02 -4.36794603e-07  4.74693570e-02 -4.36794603e-04 
 5.08206632e-02  5.61124948e-01  2.63622964e-08  1.29514043e+01  1.29514184e+01 -2.63622966e-08  5.08206632e-02 -2.63622966e-05 
 5.42588780e-02 -6.32488416e-01 -4.16615269e-07 -1.96441665e+02 -1.96441654e+02  4.16615269e-07  5.42588780e-02  4.16615269e-04 
 5.82588780e-02 -6.29580382e-01 -3.69886168e-07 -1.74476079e+02 -1.74476075e+02  3.69886168e-07  5.82588780e-02  3.69886168e-04 
 6.06060685e-02 -5.82020041e-01 -5.91692436e-08 -2.83915646e+01 -2.83915629e+01  5.91692437e-08  6.06060685e-02  5.91692437e-05 
 6.29617189e-02  6.22379033e-01  2.81533434e-07  1.32943093e+02  1.32943096e+02 -2.81533432e-07  6.29617189e-02 -2.81533432e-04 
 6.51995160e-02  6.36070436e-01  4.72615637e-07  2.22765420e+02  2.22765426e+02 -4.72615632e-07  6.51995160e-02 -4.72615632e-04 
 6.81791106e-02  6.29969813e-01  3.77758231e-07  1.78176338e+02  1.78176351e+02 -3.77758228e-07  6.81791106e-02 -3.77758228e-04 
 7.16390282e-02 -5.94624482e-01 -9.63188918e-08 -4.58645036e+01 -4.58644890e+01  9.63188929e-08  7.16390282e-02  9.63188929e-05 
 7.52007715e-02 -6.36101074e-01 -4.72663602e-07 -2.22787994e+02 -2.22787984e+02  4.72663605e-07  7.52007715e-02  4.72663605e-04 
 7.84033980e-02 -6.28360225e-01 -3.55034594e-07 -1.67494619e+02 -1.67494615e+02  3.55034591e-07  7.84033980e-02  3.55034591e-04 
 8.05926236e-02 -5.82876908e-01 -6.12180420e-08 -2.93553566e+01 -2.93553547e+01  6.12180418e-08  8.05926236e-02  6.12180418e-05 
 8.28851344e-02  6.21508278e-01  2.71846509e-07  1.28389368e+02  1.28389371e+02 -2.71846508e-07  8.28851344e-02 -2.71846508e-04 
 8.53069106e-02  6.36369773e-01  4.76452926e-07  2.24569245e+02  2.24569252e+02 -4.76452925e-07  8.53069106e-02 -4.76452925e-04 
 8.83653671e-02  6.28676097e-01  3.59015293e-07  1.69365864e+02  1.69365877e+02 -3.59015291e-07  8.83653671e-02 -3.59015291e-04 
 9.18835561e-02 -6.03127053e-01 -1.32814865e-07 -6.30261137e+01 -6.30260990e+01  1.32814864e-07  9.18835561e-02  1.32814864e-04 
 9.54666004e-02 -6.36213648e-01 -4.81153374e-07 -2.26778299e+02 -2.26778289e+02  4.81153374e-07  9.54666004e-02  4.81153374e-04 
 9.85351136e-02 -6.27698384e-01 -3.40857321e-07 -1.60830639e+02 -1.60830635e+02  3.40857319e-07  9.85351136e-02  3.40857319e-04 
 1.00000000e-01 -6.06461388e-01 -1.49930744e-07 -7.10739109e+01 -7.10739086e+01  1.49930741e-07  1.00000000e-01  1.49930741e-04 
 1.00240728e-01 -5.99315706e-01 -1.14349717e-07 -5.43436826e+01 -5.43436803e+01  1.14349718e-07  1.00240728e-01  1.14349718e-04 
 1.00722183e-01 -5.72891463e-01 -4.14377742e-08 -2.00486453e+01 -2.00486433e+01  4.14377761e-08  1.00722183e-01  4.14377761e-05 
 1.01685094e-01  5.96450736e-01  1.03244268e-07  4.91212569e+01  4.91212591e+01 -1.03244271e-07  1.01685094e-01 -1.03244271e-04 
 1.03382083e-01  6.26864779e-01  3.31644167e-07  1.56499623e+02  1.56499627e+02 -3.31644170e-07  1.03382083e-01 -3.31644170e-04 
 1.06776063e-01  6.35888772e-01  4.73536305e-07  2.23197952e+02  2.23197962e+02 -4.73536307e-07  1.06776063e-01 -4.73536307e-04 
 1.09916031e-01  6.08416538e-01  1.62149868e-07  7.68188546e+01  7.68188692e+01 -1.62149868e-07  1.09916031e-01 -1.62149868e-04 
 1.13706709e-01 -6.29233339e-01 -3.66418134e-07 -1.72845756e+02 -1.72845743e+02  3.66418130e-07  1.13706709e-01  3.66418130e-04 
 1.17639643e-01 -6.32997629e-01 -4.24514815e-07 -2.00154961e+02 -2.00154955e+02  4.24514811e-07  1.17639643e-01  4.24514811e-04 
 1.20134878e-01 -6.02572532e-01 -1.30088183e-07 -6.17440186e+01 -6.17440159e+01  1.30088183e-07  1.20134878e-01  1.30088183e-04 
 1.22272057e-01  6.12053506e-01  1.89096763e-07  8.94875321e+01  8.94875350e+01 -1.89096764e-07  1.22272057e-01 -1.89096764e-04 
 1.24406788e-01  6.33303216e-01  4.27985223e-07  2.01786358e+02  2.01786364e+02 -4.27985225e-07  1.24406788e-01 -4.27985225e-04 
 1.27509049e-01  6.33663586e-01  4.34042883e-07  2.04633818e+02  2.04633830e+02 -4.34042884e-07  1.27509049e-01 -4.34042884e-04 
 1.31056595e-01 -5.28856355e-01 -7.57509248e-09 -4.08914982e+00 -4.08913437e+00  7.57509244e-09  1.31056595e-01  7.57509244e-06 
 1.34605668e-01 -6.34009628e-01 -4.41809114e-07 -2.08284293e+02 -2.08284281e+02  4.41809115e-07  1.34605668e-01  4.41809115e-04 
